folder	file_name	genus	species	data_source	country	specimen_id	mask_percent	class_1	conf_1	class_2	conf_2	class_3	conf_3	class_4	conf_4	class_5	conf_5
2019 November	DSC_0724.JPG	Pimelodella	sp. 2	field	Peru	PM04-CV1QMA13	5.267333984375	Pimelodella	100.0	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0	Tatia	0.0
2019 November	DSC_0722.JPG	Pimelodella	sp. 2	field	Peru	PM04-CV1QMA12	6.6680908203125	Pimelodella	99.99	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0	Tatia	0.0
2019 November	DSC_0723.JPG	Pimelodella	sp. 2	field	Peru	PM04-CV1QMA13	5.57861328125	Pimelodella	99.94	Bryconops	0.02	Sorubim	0.01	Otocinclus	0.01	Oxyropsis	0.01
2019 November	DSC_0725.JPG	Pimelodella	sp. 1	field	Peru	PM04-CV1QMA14	5.99365234375	Pimelodella	99.98	Bryconops	0.01	Ancistrus	0.0	Prochilodus	0.0	Knodus	0.0
2019 November	DSC_0727.JPG	Creagrutus	beni	field	Peru	PM04-CV1QMA15	7.72552490234375	Creagrutus	99.82	Bryconops	0.12	Knodus	0.05	Moenkhausia	0.01	Prochilodus	0.0
2019 November	DSC_0726.JPG	Pimelodella	sp. 1	field	Peru	PM04-CV1QMA14	5.2215576171875	Pimelodella	100.0	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0	Tatia	0.0
2019 November	DSC_0728.JPG	Creagrutus	beni	field	Peru	PM04-CV1QMA15	8.5693359375	Creagrutus	95.47	Bryconops	4.03	Knodus	0.24	Moenkhausia	0.15	Astyanax	0.06
2019 November	DSC_0729.JPG	Creagrutus	beni	field	Peru	PM04-CV1QMA16	4.60205078125	Creagrutus	99.87	Knodus	0.08	Bryconops	0.04	Oxyropsis	0.01	Prochilodus	0.0
2019 November	DSC_0731.JPG	Otocinclus	sp. 1	field	Peru	PM04-CV1QMA17	2.58026123046875	Otocinclus	99.6	Characidium	0.12	Knodus	0.07	Corydoras	0.05	Bryconops	0.04
2019 November	DSC_0730.JPG	Creagrutus	beni	field	Peru	PM04-CV1QMA16	5.09796142578125	Creagrutus	99.58	Bryconops	0.13	Oxyropsis	0.09	Astyanax	0.07	Pimelodella	0.05
2019 November	DSC_0732.JPG	Otocinclus	sp. 1	field	Peru	PM04-CV1QMA17	2.74810791015625	Otocinclus	99.91	Oxyropsis	0.04	Corydoras	0.02	Apistogramma	0.01	Characidium	0.01
2019 November	DSC_0733.JPG	Moenkhausia	oligolepis	field	Peru	PM04-CV1QMA18	10.089111328125	Moenkhausia	99.36	Astyanax	0.53	Creagrutus	0.03	Bario	0.02	Prochilodus	0.02
