file_name,genus,species,data_source,country,specimen_id
DSC_1279.JPG,Imparfinis,cf. stictonotus,field,Peru,P3-CV2QKATI-22
DSC_1280.JPG,Imparfinis,cf. stictonotus,field,Peru,P3-CV2QKATI-22
DSC_1281.JPG,Knodus,kaquetae,field,Peru,P3-CV2QKATI-23
DSC_1282.JPG,Knodus,kaquetae,field,Peru,P3-CV2QKATI-23
DSC_1283.JPG,Knodus,kaquetae,field,Peru,P3-CV2QKATI-24
DSC_1284.JPG,Knodus,kaquetae,field,Peru,P3-CV2QKATI-24
DSC_1285.JPG,Apistogramma,sp. nov,field,Peru,P3-CV2QKATI-25
DSC_1286.JPG,Apistogramma,sp. nov,field,Peru,P3-CV2QKATI-25
DSC_1287.JPG,Creagrutus,beni,field,Peru,P3-CV2QKATI-26
DSC_1288.JPG,Creagrutus,beni,field,Peru,P3-CV2QKATI-26
DSC_1289.JPG,Knodus,kaquetae,field,Peru,P3-CV2QKATI-27
DSC_1290.JPG,Knodus,kaquetae,field,Peru,P3-CV2QKATI-27
DSC_1291.JPG,Characidium,cf. etheostoma,field,Peru,P3-CV2QKATI-28
DSC_1292.JPG,Characidium,cf. etheostoma,field,Peru,P3-CV2QKATI-28
DSC_1293.JPG,Bujurquina,huallagae,field,Peru,P3-CV2QKATI-29
DSC_1294.JPG,Bujurquina,huallagae,field,Peru,P3-CV2QKATI-29
DSC_1295.JPG,Creagrutus,beni,field,Peru,P3-CV2QKATI-30
DSC_1296.JPG,Creagrutus,beni,field,Peru,P3-CV2QKATI-30
DSC_1297.JPG,Characidium,cf. etheostoma,field,Peru,P3-CV2QKATI-31
DSC_1298.JPG,Characidium,cf. etheostoma,field,Peru,P3-CV2QKATI-31
DSC_1299.JPG,Rineloricaria,sp. 1,field,Peru,P3-CV2QKATI-32
DSC_1300.JPG,Rineloricaria,sp. 1,field,Peru,P3-CV2QKATI-32
DSC_1301.JPG,Characidium,cf. etheostoma,field,Peru,P3-CV2QKATI-33
DSC_1302.JPG,Characidium,cf. etheostoma,field,Peru,P3-CV2QKATI-33
DSC_1303.JPG,Knodus,kaquetae,field,Peru,P3-CV2QKATI-34
DSC_1304.JPG,Knodus,kaquetae,field,Peru,P3-CV2QKATI-34
DSC_1305.JPG,Characidium,cf. etheostoma,field,Peru,P3-CV2QKATI-35
DSC_1306.JPG,Characidium,cf. etheostoma,field,Peru,P3-CV2QKATI-35
DSC_1307.JPG,Otocinclus,sp. 1,field,Peru,P3-CV2QKATI-36
DSC_1308.JPG,Otocinclus,sp. 1,field,Peru,P3-CV2QKATI-36
DSC_1309.JPG,Otocinclus,hoppei,field,Peru,P3-CV2QKATI-37
DSC_1310.JPG,Otocinclus,hoppei,field,Peru,P3-CV2QKATI-37
DSC_1311.JPG,Microschemobrycon,sp. 1,field,Peru,P3-CV2QKATI-38
DSC_1312.JPG,Microschemobrycon,sp. 1,field,Peru,P3-CV2QKATI-38
DSC_0792.JPG,Crenicichla,proteus,field,Peru,KACV2-01
DSC_0793.JPG,Crenicichla,proteus,field,Peru,KACV2-01
DSC_0794.JPG,Leporinus,fridereci,field,Peru,KACV2-02
DSC_0795.JPG,Leporinus,fridereci,field,Peru,KACV2-02
DSC_0796.JPG,Hoplias,malabaricus,field,Peru,KACV2-03
DSC_0797.JPG,Hoplias,malabaricus,field,Peru,KACV2-03
DSC_0798.JPG,Hoplias,malabaricus,field,Peru,KACV2-04
DSC_0799.JPG,Hoplias,malabaricus,field,Peru,KACV2-04
DSC_0800.JPG,Hoplias,malabaricus,field,Peru,KACV2-05
DSC_0801.JPG,Hoplias,malabaricus,field,Peru,KACV2-05
DSC_0802.JPG,Hoplias,malabaricus,field,Peru,KACV2-06
DSC_0803.JPG,Hoplias,malabaricus,field,Peru,KACV2-06
DSC_0800.JPG,Steindachnerina,guentheri,field,Peru,KACV2-07
DSC_0801.JPG,Steindachnerina,guentheri,field,Peru,KACV2-07
DSC_0802.JPG,Steindachnerina,guentheri,field,Peru,KACV2-07
DSC_0803.JPG,Steindachnerina,guentheri,field,Peru,KACV2-07
DSC_1083.JPG,Hoplias,malabaricus,field,Peru,KACV2-08
DSC_1084.JPG,Hoplias,malabaricus,field,Peru,KACV2-08
DSC_1085.JPG,Serrasalmus,rhombeus,field,Peru,KACV2-09
DSC_1086.JPG,Serrasalmus,rhombeus,field,Peru,KACV2-09
DSC_1087.JPG,Rhytiodus,argenteofuscus,field,Peru,KACV2-10
DSC_1088.JPG,Rhytiodus,argenteofuscus,field,Peru,KACV2-10
DSC_1089.JPG,Hoplias,malabaricus,field,Peru,KACV2-11
DSC_1090.JPG,Hoplias,malabaricus,field,Peru,KACV2-11
DSC_1091.JPG,Hoplias,malabaricus,field,Peru,KACV2-12
DSC_1092.JPG,Hoplias,malabaricus,field,Peru,KACV2-12
DSC_1093.JPG,Hoplias,malabaricus,field,Peru,KACV2-13
DSC_1094.JPG,Hoplias,malabaricus,field,Peru,KACV2-13
DSC_1095.JPG,Loricaria,sp. 1,field,Peru,KACV2-14
DSC_1096.JPG,Loricaria,sp. 1,field,Peru,KACV2-14
DSC_1185.JPG,Hoplias,malabaricus,field,Peru,KACV2-15
DSC_1186.JPG,Hoplias,malabaricus,field,Peru,KACV2-15
DSC_1187.JPG,Leporinus,fridereci,field,Peru,KACV2-16
DSC_1188.JPG,Leporinus,fridereci,field,Peru,KACV2-16
DSC_1189.JPG,Hoplias,malabaricus,field,Peru,KACV2-17
DSC_1190.JPG,Hoplias,malabaricus,field,Peru,KACV2-17
DSC_1191.JPG,Acestrorhynchus,falcatus,field,Peru,KACV2-18
DSC_1192.JPG,Acestrorhynchus,falcatus,field,Peru,KACV2-18
DSC_1313.JPG,Pterygoplichthys,sp. 1,field,Peru,KACV2-19
DSC_1314.JPG,Pterygoplichthys,sp. 1,field,Peru,KACV2-19
DSC_1315.JPG,Pterygoplichthys,sp. 1,field,Peru,KACV2-19
DSC_1316.JPG,Pterygoplichthys,sp. 1,field,Peru,KACV2-19
DSC_1313.JPG,Pterygoplichthys,sp. 1,field,Peru,KACV2-20
DSC_1314.JPG,Pterygoplichthys,sp. 1,field,Peru,KACV2-20
DSC_1315.JPG,Pterygoplichthys,sp. 1,field,Peru,KACV2-20
DSC_1316.JPG,Pterygoplichthys,sp. 1,field,Peru,KACV2-20
DSC_1317.JPG,Pterygoplichthys,sp. 1,field,Peru,KACV2-20
DSCN0786.JPG,Brachychalcinus,nummus,museum,Ecuador,USNM:Fish:311296
DSCN0787.JPG,Brachychalcinus,nummus,museum,Ecuador,USNM:Fish:311296
DSCN0109.JPG,Brachychalcinus,nummus,museum,Ecuador,USNM:Fish:311296
DSCN0110.JPG,Brachychalcinus,nummus,museum,Ecuador,USNM:Fish:311296
DSCN0788.JPG,Brachychalcinus,nummus,museum,Ecuador,USNM:Fish:311296
DSCN0789.JPG,Brachychalcinus,nummus,museum,Ecuador,USNM:Fish:311296
DSCN0111.JPG,Brachychalcinus,nummus,museum,Ecuador,USNM:Fish:311296
DSCN0112.JPG,Brachychalcinus,nummus,museum,Ecuador,USNM:Fish:311296
DSCN0790.JPG,Brachychalcinus,nummus,museum,Ecuador,USNM:Fish:311296
DSCN0791.JPG,Brachychalcinus,nummus,museum,Ecuador,USNM:Fish:311296
DSCN0113.JPG,Brachychalcinus,nummus,museum,Ecuador,USNM:Fish:311296
DSCN0114.JPG,Brachychalcinus,nummus,museum,Ecuador,USNM:Fish:311296
DSCN0792.JPG,Brachychalcinus,nummus,museum,Peru,USNM:Fish:229417
DSCN0793.JPG,Brachychalcinus,nummus,museum,Peru,USNM:Fish:229417
DSCN0115.JPG,Brachychalcinus,nummus,museum,Peru,USNM:Fish:229417
DSCN0116.JPG,Brachychalcinus,nummus,museum,Peru,USNM:Fish:229417
DSCN0794.JPG,Brachychalcinus,nummus,museum,Peru,USNM:Fish:229417
DSCN0795.JPG,Brachychalcinus,nummus,museum,Peru,USNM:Fish:229417
DSCN0117.JPG,Brachychalcinus,nummus,museum,Peru,USNM:Fish:229417
DSCN0118.JPG,Brachychalcinus,nummus,museum,Peru,USNM:Fish:229417
DSCN0796.JPG,Brachychalcinus,nummus,museum,Peru,USNM:Fish:229417
DSCN0797.JPG,Brachychalcinus,nummus,museum,Peru,USNM:Fish:229417
DSCN0119.JPG,Brachychalcinus,nummus,museum,Peru,USNM:Fish:229417
DSCN0120.JPG,Brachychalcinus,nummus,museum,Peru,USNM:Fish:229417
DSCN0798.JPG,Brachychalcinus,copei,museum,Bolivia,USNM:Fish:305374
DSCN0799.JPG,Brachychalcinus,copei,museum,Bolivia,USNM:Fish:305374
DSCN0121.JPG,Brachychalcinus,copei,museum,Bolivia,USNM:Fish:305374
DSCN0122.JPG,Brachychalcinus,copei,museum,Bolivia,USNM:Fish:305374
DSCN0800.JPG,Brachychalcinus,copei,museum,Bolivia,USNM:Fish:305374
DSCN0801.JPG,Brachychalcinus,copei,museum,Bolivia,USNM:Fish:305374
DSCN0123.JPG,Brachychalcinus,copei,museum,Bolivia,USNM:Fish:305374
DSCN0124.JPG,Brachychalcinus,copei,museum,Bolivia,USNM:Fish:305374
DSCN0802.JPG,Brachychalcinus,copei,museum,Bolivia,USNM:Fish:305374
DSCN0803.JPG,Brachychalcinus,copei,museum,Bolivia,USNM:Fish:305374
DSCN0125.JPG,Brachychalcinus,copei,museum,Bolivia,USNM:Fish:305374
DSCN0126.JPG,Brachychalcinus,copei,museum,Bolivia,USNM:Fish:305374
DSCN0804.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
DSCN0127.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
DSCN0128.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
DSCN0129.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
DSCN0130.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
DSCN0131.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
DSCN0132.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
DSCN0133.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
DSCN0134.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
DSCN0135.JPG,Carnegiella,Myersi,museum,Peru,USNM:Fish:328578
