Codigo foto	Carpeta/Subcarpeta	Camara usada	Fecha	Familia	Genero	Especie	Código/ ID del individuo*	Descripcion o Ubicacion	Quebrada-transecto	Colectores	Metodo de captura	file_name	Nombre cientifico
DSC_0001-CV1-TRAMPA	Peces Morona Nov-2018/PECES CV1 Y CV2	Nikon 5300	11/23/2018	Erythrinidae	Hoplias 	malabaricus	CV1-298	CV1-Mashumbara 	Mashumbara	Leo, Morgan, Antonio y Perciles 	Red de espera	DSC_0001-CV1-TRAMPA.JPG	
DSC_0001-CV2-TRAMPA	Peces Morona Nov-2018/PECES CV1 Y CV2	Nikon 5300	11/24/2018	Erythrinidae	Hoplias 	malabaricus	CV2-491	CV2-Katirnaentsa	Katirnaentsa	Leo, Morgan, Antonio y Perciles 	Red de espera	DSC_0001-CV2-TRAMPA.JPG	
DSC_0001-KANT1	Peces Morona Nov-2018/PECES CV1 Y CV2	Nikon 5300	11/24/2018	Erythrinidae	Erythrinus 	erythrinus	CV2-299	CV2-Katirnaentsa	Kantashentsa-T1	Leo, Morgan, Antonio y Perciles 	Red de arrastre	DSC_0001-KANT1.JPG	
DSC_0002-CV2-TRAMPA	Peces Morona Nov-2018/PECES CV1 Y CV2	Nikon 5300	11/24/2018	Anostomidae	Leporinus	friderici	CV2-492	CV2-Katirnaentsa	Katirnaentsa	Leo, Morgan, Antonio y Perciles 	Red de espera	DSC_0002-CV2-TRAMPA.JPG	
DSC_0002-KANT1	Peces Morona Nov-2018/PECES CV1 Y CV2	Nikon 5300	11/24/2018	Cichlidae	Laetacara	flavilabris	CV2-300	CV2-Katirnaentsa	Kantashentsa-T1	Leo, Morgan, Antonio y Perciles 	Red de arrastre	DSC_0002-KANT1.JPG	
DSC_0003-CV2-TRAMPA	Peces Morona Nov-2018/PECES CV1 Y CV2	Nikon 5300	11/24/2018	Erythrinidae	Hoplias 	malabaricus	CV2-493	CV2-Katirnaentsa	Katirnaentsa	Leo, Morgan, Antonio y Perciles 	Red de espera	DSC_0003-CV2-TRAMPA.JPG	
DSC_0003-KANT1	Peces Morona Nov-2018/PECES CV1 Y CV2	Nikon 5300	11/24/2018	Cichlidae	Bujurquina	moriorum	CV2-301	CV2-Katirnaentsa	Kantashentsa-T1	Leo, Morgan, Antonio y Perciles 	Red de arrastre	DSC_0003-KANT1.JPG	
DSC_0004-CV2-TRAMPA	Peces Morona Nov-2018/PECES CV1 Y CV2	Nikon 5300	11/24/2018	Serrasalmidae	Myloplus 	asterias	CV2-494	CV2-Katirnaentsa	Katirnaentsa	Leo, Morgan, Antonio y Perciles 	Red de espera	DSC_0004-CV2-TRAMPA.JPG	
DSC_0004-KANT1	Peces Morona Nov-2018/PECES CV1 Y CV2	Nikon 5300	11/24/2018	Cichlidae	Bujurquina	moriorum	CV2-302	CV2-Katirnaentsa	Kantashentsa-T1	Leo, Morgan, Antonio y Perciles 	Red de arrastre	DSC_0004-KANT1.JPG	
DSC_0005-CV2-TRAMPA DSC_0006-CV2-TRAMPA 	Peces Morona Nov-2018/PECES CV1 Y CV2	Nikon 5300	11/24/2018	Heptapteridae	Pimelodella	cf. cristata	CV2-495	CV2-Katirnaentsa	Katirnaentsa	Leo, Morgan, Antonio y Perciles 	Red de espera	DSC_0006-CV2-TRAMPA.JPG	
