Codigo foto,Familia,Genero,Especie
DSCN0459-PM1-DSCN0460-PM1,Loricariidae,Oxyropsis,carinata
DSCN0460-PM3-DSCN0461-PM3,Loricariidae,Hypoptopoma,sp. 1
DSCN0461-PM1,Trichomycteridae,Acanthopoma,annectens
DSCN0462-PM1-DSCN0463-PM1,Loricariidae,Hypoptopoma,sp. 1
DSCN0462-PM3,Cichlidae,Crenicichla,sp. 1
DSCN0463-PM3-DSCN0465-PM3,Batrachoididae,Thalassophryne,amazonica 
DSCN0464-PM1-DSCN0465-PM1,Loricariidae,Otocinclus,hoppei 
DSCN0466-PM3,Characidae,Bryconamericus,sp. 2
DSCN0467-PM1-DSCN0468-PM1,Loricariidae,Oxyropsis,carinata
DSCN0467-PM3,Characidae,Astyanax,sp. 1
DSCN0468-PM3,Trichomycteridae,Ochmacanthus ,reinhardtii 
DSCN0469-PM1-DSCN0470-PM1,Loricariidae,Otocinclus,hoppei 
DSCN0471-PM1,Characidae,Phenacogaster,cf. capitulatus
DSCN0472-PM1,Characidae,Phenacogaster,cf. capitulatus
DSCN0473-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0474-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0475-PM1,Characidae,Bryconops,caudomaculatus
DSCN0476-PM1,Curimatidae,Steindachnerina,sp. 1
DSCN0477-PM1,Heptapteridae,Imparfinis,cf. stictonotus
DSCN0478-PM1,Characidae,Astyanax,sp. 1
DSCN0479-PM1,Characidae,Bryconamericus,sp. 2
DSCN0480-PM1,Characidae,Phenacogaster,cf. capitulatus
DSCN0481-PM1,Characidae,Phenacogaster,napoatilis
DSCN0482-PM1,Characidae,Phenacogaster,napoatilis
DSCN0483-PM1,Characidae,Moenkhausia,oligolepis
DSCN0486-PM1-DSCN0487-PM1,Loricariidae,Oxyropsis,carinata
DSCN0488-PM1-DSCN0489-PM1,Loricariidae,Oxyropsis,carinata
DSCN0490-PM1-DSCN0491-PM1,Loricariidae,Otocinclus,hoppei 
DSCN0492-PM1-DSCN0493-PM1,Loricariidae,Otocinclus,hoppei 
DSCN0494-PM1-DSCN0495-PM1,Loricariidae,Oxyropsis,carinata
DSCN0496-PM1-DSCN0499-PM1,Loricariidae,Otocinclus,hoppei 
DSCN0500-PM1-DSCN0501-PM1,Loricariidae,Otocinclus,hoppei 
DSCN0502-PM1-DSCN0503-PM1,Loricariidae,Otocinclus,hoppei 
DSCN0504-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0505-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0508-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0509-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0510-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0511-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0512-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0513-PM1,Curimatidae,Steindachnerina,sp. 1
DSCN0514-PM1,Trichomycteridae,Acanthopoma,annectens
DSCN0516-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0517-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0518-PM1,Aspredinidae,Bunocephalus ,coracoideus
DSCN0519-PM1,Aspredinidae,Bunocephalus ,coracoideus
DSCN0520-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0521-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0522-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0523-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0524-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0525-PM1,Heptapteridae,Imparfinis,cf. stictonotus
DSCN0526-PM1,Loricariidae,Rineloricaria,sp. 1
DSCN0527-PM1,Loricariidae,Limatulichthys,sp. 1
DSCN0528-PM1,Loricariidae,Limatulichthys,sp. 1
DSCN0529-PM1,Heptapteridae,Pimelodella,cf. cristata
DSCN0531-PM1,Trichomycteridae,Ochmacanthus ,reinhardtii 
DSCN0533-PM1,Trichomycteridae,Ochmacanthus ,reinhardtii 
DSCN0534-PM1,Trichomycteridae,Ochmacanthus ,reinhardtii 
DSCN0537-PM1,Loricariidae,Otocinclus,hoppei 
DSCN0538-PM1,Crenuchidae,Characidium,cf. etheostoma
DSCN0540-PM1,Batrachoididae,Thalassophryne,amazonica
DSCN0547-KNTSH,Characidae,Moenkhausia,sp. 1
DSCN0549-KNTSH,Characidae,Moenkhausia,sp. 1
DSCN0550-KNTSH,Cichlidae,Apistogramma,aff. cruzi
DSCN0551-KNTSH,Lebiasinidae,Pyrrhulina,cf. brevis
DSCN0552-KNTSH,Crenuchidae,Characidium,cf. etheostoma
DSCN0553-KNTSH,Lebiasinidae,Pyrrhulina,cf. eleanorae
DSCN0554-KNTSH,Cichlidae,Apistogramma,aff. cruzi
DSCN0555-KNTSH,Cichlidae,Apistogramma,aff. cruzi
DSCN0556-KNTSH,Cichlidae,Apistogramma,aff. cruzi
DSCN0558-KNTSH,Characidae,Hemigrammus,sp. 2
DSCN0559-KNTSH,Characidae,Hemigrammus,sp. 2
DSCN0560-KNTSH,Cichlidae,Bujurquina,moriorum
DSCN0561-KNTSH,Synbranchidae,Synbranchus,marmoratus
DSCN0562-KNTSH,Characidae,Astyanax,cf. lacustris
DSCN0563-KNTSH,Characidae,Astyanax,cf. lacustris
DSCN0564-KNTSH,Characidae,Bario,steindachneri
DSCN0565-KNTSH,Characidae,Bario,steindachneri
DSCN0566-KNTSH,Characidae,Moenkhausia,sp. 1
DSCN0567-KNTSH,Cichlidae,Apistogramma,aff. cruzi
DSCN0568-KNTSH,Cichlidae,Laetacara,flavilabris
DSCN0569-KNTSH,Cichlidae,Apistogramma,aff. cruzi
DSCN0570-KNTSH,Characidae,Moenkhausia,sp. 1
DSCN0571-KNTSH,Cichlidae,Bujurquina,moriorum
DSCN0572-KNTSH,Characidae,Moenkhausia,comma
DSCN0573-KNTSH,Callichthyidae,Corydoras,aeneus
DSCN0574-KNTSH,Erythrinidae,Erythrinus,erythrinus
DSCN0575-KNTSH,Heptapteridae,Rhamdia ,sp. 1
DSCN0576-KNTSH,Heptapteridae,Rhamdia ,sp. 1
DSCN0577-KNTSH,Gymnotidae,Gymnotus,carapo
DSCN0578-KNTSH,Gymnotidae,Gymnotus,cf. jonasi 
DSCN061-HERM,Characidae,Moenkhausia,comma
DSCN062-HERM,Characidae,Moenkhausia,comma
DSCN063-HERM,Characidae,Moenkhausia,comma
DSCN064-HERM,Characidae,Moenkhausia,comma
DSCN065-HERM,Characidae,Moenkhausia,comma
DSCN066-HERM,Characidae,Moenkhausia,comma
DSCN067-HERM,Characidae,Moenkhausia,comma
DSCN068-HERM,Characidae,Hyphessobrycon,loretoensis
DSCN070-HERM,Gymnotidae,Gymnotus,cf. jonasi 
DSCN072-HERM-DSCN0073-HERM,Loricariidae,Ancistrus,sp. 2
DSCN074-HERM-DSCN0075-HERM,Loricariidae,Pterygoplichthys,sp. 1
DSCN076-HERM-DSCN0077-HERM,Loricariidae,Pterygoplichthys,sp. 1
DSCN078-HERM-DSCN0079-HERM,Loricariidae,Pterygoplichthys,sp. 1
