Codigo foto,Carpeta/Subcarpeta,Camara usada,Fecha,Familia,Genero,Especie,Nombre cientifico,Código/ ID del individuo*,Descripcion o Ubicacion,Quebrada-transecto,Colectores,Metodo de captura
DSC_0761 - DSC_0762,"Morona 3ra entrada 2019,nov",Nikon D 3500,Tue Nov 26 00:00:00 EST 2019,Aspredinidae,Bunocephalus ,sp. 1,Bunocephalus sp. 1,PM04-CV1QMA32,Mashumabara ,PM-04,"Leo, Morgan y Perciles",Red de arrastre
DSC_0763 - DSC_0764,"Morona 3ra entrada 2019,nov",Nikon D 3500,Tue Nov 26 00:00:00 EST 2019,Aspredinidae,,,,PM04-CV1QMA33,Mashumabara ,PM-04,"Leo, Morgan y Perciles",Red de arrastre
DSC_0765 - DSC_0766,"Morona 3ra entrada 2019,nov",Nikon D 3500,Tue Nov 26 00:00:00 EST 2019,Loricariidae,Sturisoma,nigrirostrum,Sturisoma nigrirostrum,PM04-CV1QMA34,Mashumabara ,PM-04,"Leo, Morgan y Perciles",Red de arrastre
DSC_0342 - DSC_0343,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 22 00:00:00 EST 2019,Serrasalmidae,Myloplus,asterias,Myloplus asterias ,MACV1-01,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0344 - DSC_0345,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 22 00:00:00 EST 2019,Serrasalmidae,Myloplus,asterias,Myloplus asterias ,MACV1-02,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0346 - DSC_0347,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 22 00:00:00 EST 2019,Prochilodontidae,Prochilodus ,nigricans,Prochilodus nigricans,MACV1-03,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0348 - DSC_0349,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 22 00:00:00 EST 2019,Erythrinidae,Hoplias,malabaricus,Hoplias malabaricus,MACV1-04,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0350 - DSC_0351,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 22 00:00:00 EST 2019,Loricariidae,Hypostomus ,sp. 1,Hypostomus sp. 1,MACV1-05,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0354 - DSC_0355,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 22 00:00:00 EST 2019,Characidae,Tetragonopterus,argenteus,Tetragonopterus argenteus,MACV1-06,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0356 - DSC_0357,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 22 00:00:00 EST 2019,Serrasalmidae,Serrasalmus,rhombeus,Serrasalmus rhombeus,MACV1-07,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0512 - DSC_0513,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 22 00:00:00 EST 2019,Cichlidae,Heroina,isonycterina,Heroina isonycterina,MACV1-08,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0514 - DSC_0515,"Morona 3ra entrada 2019,nov",Nikon D 3500,Sat Nov 23 00:00:00 EST 2019,Characidae,Roeboides,myersii,Roeboides myersii,MACV1-09,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0516 - DSC_0517,"Morona 3ra entrada 2019,nov",Nikon D 3500,Sat Nov 23 00:00:00 EST 2019,Anostomidae,Leporinus,fridereci,Leporinus fridereci,MACV1-10,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0518 - DSC_0519,"Morona 3ra entrada 2019,nov",Nikon D 3500,Sat Nov 23 00:00:00 EST 2019,Characidae,Tetragonopterus,argenteus,Tetragonopterus argenteus,MACV1-11,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0520 - DSC_0523,"Morona 3ra entrada 2019,nov",Nikon D 3500,Sat Nov 23 00:00:00 EST 2019,Loricariidae,Hypostomus ,sp. 1,Hypostomus sp. 1,MACV1-12,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0524 - DSC_0525,"Morona 3ra entrada 2019,nov",Nikon D 3500,Sat Nov 23 00:00:00 EST 2019,Characidae,Paragoniates ,alburnus,Paragoniates alburnus,MACV1-13,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0687 - DSC_0688,"Morona 3ra entrada 2019,nov",Nikon D 3500,Tue Nov 26 00:00:00 EST 2019,Prochilodontidae,Prochilodus ,nigricans,Prochilodus nigricans,MACV1-14,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0689 - DSC_0690,"Morona 3ra entrada 2019,nov",Nikon D 3500,Tue Nov 26 00:00:00 EST 2019,Prochilodontidae,Prochilodus ,nigricans,Prochilodus nigricans,MACV1-15,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0691 - DSC_0692,"Morona 3ra entrada 2019,nov",Nikon D 3500,Tue Nov 26 00:00:00 EST 2019,Serrasalmidae,Serrasalmus,rhombeus,Serrasalmus rhombeus,MACV1-16,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0693 - DSC_0694,"Morona 3ra entrada 2019,nov",Nikon D 3500,Tue Nov 26 00:00:00 EST 2019,Auchenipteridae,Ageneiosus ,inermis,Ageneiosus inermis,MACV1-17,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0695 - DSC_0696,"Morona 3ra entrada 2019,nov",Nikon D 3500,Tue Nov 26 00:00:00 EST 2019,Erythrinidae,Hoplias,malabaricus,Hoplias malabaricus,MACV1-18,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0697 - DSC_0698,"Morona 3ra entrada 2019,nov",Nikon D 3500,Tue Nov 26 00:00:00 EST 2019,Curimatidae,Steindachnerina,sp. 1,Steindachnerina sp. 1,MACV1-19,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0784 - DSC_0785,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 27 00:00:00 EST 2019,Serrasalmidae,Myloplus,asterias,Myloplus asterias ,MACV1-20,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0786 - DSC_0787,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 27 00:00:00 EST 2019,Serrasalmidae,Myloplus,asterias,Myloplus asterias ,MACV1-21,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0788 - DSC_0789,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 27 00:00:00 EST 2019,Erythrinidae,Hoplias,malabaricus,Hoplias malabaricus,MACV1-22,Mashumabara ,CV1-trampa,"Leo, Morgan, Esau, Perciles",Red de espera 
DSC_0860-DSC_0861,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T1-CV2QKANT-01,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0862-DSC_0863,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Lebiasinidae,Pyrrhulina,cf. eleanorae,Pyrrhulina cf. eleanorae,T1-CV2QKANT-02,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0864-DSC_0865,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Lebiasinidae,Pyrrhulina,cf. eleanorae,Pyrrhulina cf. eleanorae,T1-CV2QKANT-03,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0866-DSC_0867,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T1-CV2QKANT-04,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0868-DSC_0869,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T1-CV2QKANT-05,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0870-DSC_0871,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T1-CV2QKANT-06,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0872-DSC_0873,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T1-CV2QKANT-07,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0874-DSC_0875,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T1-CV2QKANT-08,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0876-DSC_0877,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T1-CV2QKANT-09,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0878-DSC_0879,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Cichlidae,Apistogramma,cacatuoides,Apistogramma cacatuoides,T1-CV2QKANT-10,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0880-DSC_0881,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Chrysobrycon,hesperus,Chrysobrycon hesperus,T1-CV2QKANT-11,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0882-DSC_0883,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Callichthyidae,Corydoras,aeneus,Corydoras aeneus,T1-CV2QKANT-12,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0884-DSC_0885,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Knodus,sp. 1,Knodus sp. 1,T1-CV2QKANT-13,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0886-DSC_0887,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Cichlidae,Apistogramma,cacatuoides,Apistogramma cacatuoides,T1-CV2QKANT-14,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0888-DSC_0889,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T1-CV2QKANT-15,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0890-DSC_0891,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T1-CV2QKANT-16,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0892-DSC_0893,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T1-CV2QKANT-17,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0894-DSC_0895,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T1-CV2QKANT-18,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0896-DSC_0897,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T1-CV2QKANT-19,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0898-DSC_0899,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T1-CV2QKANT-20,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0900-DSC_0901,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T1-CV2QKANT-21,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0902-DSC_0903,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T1-CV2QKANT-22,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0904-DSC_0905,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Bryconamericus,sp. 1,Bryconamericus sp. 1,T1-CV2QKANT-23,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0906-DSC_0907,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 1,Hemigrammus sp. 1,T1-CV2QKANT-24,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0908-DSC_0909,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Lebiasinidae,Pyrrhulina,cf. eleanorae,Pyrrhulina cf. eleanorae,T1-CV2QKANT-25,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0910-DSC_0911,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T1-CV2QKANT-26,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0912-DSC_0913,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 1,Hemigrammus sp. 1,T1-CV2QKANT-27,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0914-DSC_0915,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Loricariidae,Ancistrus,sp. 2,Ancistrus sp. 2,T1-CV2QKANT-28,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0916-DSC_0917,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 1,Hemigrammus sp. 1,T1-CV2QKANT-29,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0918-DSC_0919,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 1,Hemigrammus sp. 1,T1-CV2QKANT-30,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0920-DSC_0921,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Synbranchidae,Synbranchus,marmoratus,Synbranchus marmoratus,T1-CV2QKANT-31,Kantashentsa,T1-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0922-DSC_0923,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Cichlidae,Apistogramma,sp. nov,Apistogramma sp. nov,T2-CV2QKANT-01,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0924-DSC_0925,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Knodus,kaquetae,Knodus kaquetae,T2-CV2QKANT-02,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0926-DSC_0927,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T2-CV2QKANT-03,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0928-DSC_0929,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T2-CV2QKANT-04,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0930-DSC_0931,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Cichlidae,Bujurquina,moriorum,Bujurquina moriorum,T2-CV2QKANT-05,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0932-DSC_0933,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Lebiasinidae,Pyrrhulina,cf. eleanorae,Pyrrhulina cf. eleanorae,T2-CV2QKANT-06,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0934-DSC_0935,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Knodus,kaquetae,Knodus kaquetae,T2-CV2QKANT-07,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0936-DSC_0937,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Cichlidae,Apistogramma,sp. nov,Apistogramma sp. nov,T2-CV2QKANT-08,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0938-DSC_0939,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Loricariidae,Rineloricaria,sp. 1,Rineloricaria sp. 1,T2-CV2QKANT-09,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0940-DSC_0941,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Knodus,kaquetae,Knodus kaquetae,T2-CV2QKANT-10,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0942-DSC_0943,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Knodus,kaquetae,Knodus kaquetae,T2-CV2QKANT-11,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0944-DSC_0945,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T2-CV2QKANT-12,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0946-DSC_0947,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Cichlidae,Bujurquina,moriorum,Bujurquina moriorum,T2-CV2QKANT-13,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0948-DSC_0949,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 1,Hemigrammus sp. 1,T2-CV2QKANT-14,Kantashentsa,T2-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0950-DSC_0951,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T3-CV2QKANT-01,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0952-DSC_0953,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T3-CV2QKANT-02,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0954-DSC_0955,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T3-CV2QKANT-03,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0956-DSC_0957,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T3-CV2QKANT-04,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0958-DSC_0959,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T3-CV2QKANT-05,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0960-DSC_0961,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T3-CV2QKANT-06,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0962-DSC_0963,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T3-CV2QKANT-07,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0964-DSC_0965,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T3-CV2QKANT-08,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0966,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T3-CV2QKANT-09,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0967-DSC_0968,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T3-CV2QKANT-10,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0969-DSC_0970,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T3-CV2QKANT-11,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0971-DSC_0972,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Callichthyidae,Corydoras,aeneus,Corydoras aeneus,T3-CV2QKANT-12,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0973-DSC_0974,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Cichlidae,Apistogramma,sp. nov,Apistogramma sp. nov,T3-CV2QKANT-13,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0975-DSC_0976,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T3-CV2QKANT-14,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0977-DSC_0978,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T3-CV2QKANT-15,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0979-DSC_0980,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T3-CV2QKANT-16,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0981-DSC_0982,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Lebiasinidae,Pyrrhulina,cf. eleanorae,Pyrrhulina cf. eleanorae,T3-CV2QKANT-17,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0983-DSC_0984,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Cichlidae,Apistogramma,sp. nov,Apistogramma sp. nov,T3-CV2QKANT-18,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0985-DSC_0986,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T3-CV2QKANT-19,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0987-DSC_0988,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T3-CV2QKANT-20,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
DSC_0989-DSC_0990,"Morona 3ra entrada 2019,nov",Nikon D 3500,Fri Nov 29 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T3-CV2QKANT-21,Kantashentsa,T3-30-50,"Leo, Morgan, Esau, Perciles",Red de arrastre y red de mano
