ID 1,ID 2,Codigo foto 2,Genero
DSC_0480,,DSC_0481,Ancistrus
DSC_0482,,DSC_0483,Knodus
DSC_0484,,DSC_0485,Astyanax
DSC_0486,,DSC_0487,Astyanax
DSC_0488,,DSC_0489,Astyanax
DSC_0490,,DSC_0491,Astyanax
DSC_0492,,DSC_0493,Astyanax
DSC_0494,,DSC_0495,Astyanax
DSC_0496,,DSC_0497,Astyanax
DSC_0498,,DSC_0499,Moenkhausia
DSC_0500,,DSC_0501,Moenkhausia
DSC_0502,,DSC_0503,Ancistrus
DSC_0504,,DSC_0505,Bujurquina
DSC_0506,,DSC_0507,Corydoras
DSC_0508,,DSC_0509,Moenkhausia
DSC_0510,,DSC_0511,Moenkhausia
DSC_0527,,DSC_0528,Knodus
DSC_0529,,DSC_0530,Knodus
DSC_0531,,DSC_0532,Creagrutus
DSC_0533,,DSC_0534,Knodus
DSC_0535,,DSC_0536,Knodus
DSC_0537,,DSC_0538,Knodus
DSC_0539,,DSC_0540,Knodus
DSC_0541,,DSC_0542,Knodus
DSC_0543,,DSC_0544,Creagrutus
DSC_0545,,DSC_0546,Knodus
DSC_0547,,DSC_0548,Knodus
DSC_0549,,DSC_0550,Creagrutus
DSC_0551,,DSC_0552,Knodus
DSC_0553,,DSC_0554,Creagrutus
DSC_0555,,DSC_0556,Tyttocharax
DSC_0557,,DSC_0558,Otocinclus
DSC_0559,,DSC_0560,Imparfinis
DSC_0561,,DSC_0562,Hemigrammus
DSC_0563,,DSC_0564,Acanthopoma
DSC_0565,,DSC_0566,Tyttocharax
DSC_0567,,DSC_0568,Tyttocharax
DSC_0569,,DSC_0570,Pimelodella
DSC_0571,,DSC_0572,Pimelodella
DSC_0573,,DSC_0574,Gasteropelecus
DSC_0575,,DSC_0576,Gasteropelecus
DSC_0577,,DSC_0578,Characidium
DSC_0579,,DSC_0580,Steindachnerina
DSC_0581,,DSC_0582,Moenkhausia
DSC_0583,,DSC_0584,Corydoras
